"","dem","temp","rain","distance_water","frostdays","sunhours","tpi","slope","aspect","site","lon","lat"
"183",200,9.39999961853027,607,0,7.16844701766968,3,-43.625,2.51012277603149,2,1,9.82271104918795,49.9456230024993
"184",193,9.39999961853027,610,0,7.25935983657837,3,-33.5,1.21209251880646,7,1,9.82398407546497,49.9631356153745
"185",320,9,668,5603.31201171875,7.00537014007568,3,-3.375,1.46405625343323,8,1,9.82923200087961,49.7599934708076
"186",321,8.69999980926514,669,4033.2880859375,7.92843151092529,3,31.125,1.05069506168365,5,1,9.82956639570918,50.0484801571891
"187",210,9.39999961853027,607,1194.82666015625,7.15605688095093,3,-42,1.60341382026672,8,1,9.83238329460896,50.0073246565988
"188",170,9.60000038146973,599,0,6.47726488113403,3,-43.25,3.24227380752563,6,1,9.83922680455767,49.8841501517084
"189",233,9.19999980926514,621,2389.6533203125,7.60908842086792,3,-31.375,3.24678683280945,1,1,9.84325878962497,50.0059178521684
"190",250,9,634,3024.09057617188,7.01264905929565,3,-6.75,2.13917231559753,5,1,9.84357277463818,50.0179183936323
"191",173,9.60000038146973,601,0,6.27290964126587,3,-17.875,1.00623059272766,7,1,9.84360341089819,49.8689996798799
"192",282,9.19999980926514,657,4901.92919921875,7.05823278427124,3,-18.75,1.59413981437683,3,1,9.84435914182944,49.6519680203639
"193",345,8.80000019073486,687,4554.87109375,7.40128517150879,3,14.625,1.06658709049225,5,1,9.84499508615096,49.6802147208825
"194",250,9,634,3024.09057617188,7.01264905929565,3,-6.75,2.13917231559753,5,1,9.84616241342458,50.0174270034443
"195",371,8.69999980926514,697,5606.53173828125,7.96464586257935,3,11.125,0.482474654912949,5,1,9.8513625754342,49.7476286114145
"196",280,9,646,2018.97814941406,7.8681492805481,3,-20.5,0.957752764225006,3,1,9.85314218970219,49.9725806495857
"197",323,8.89999961853027,681,5413.80859375,7.02854681015015,3,13.25,1.3180239200592,4,1,9.85437665965119,49.6669909034625
"198",284,9.10000038146973,665,5493.9423828125,7.012779712677,3,-6.5,0.69505500793457,5,1,9.85466104903178,49.657374744126
"199",318,8.80000019073486,662,2988.09936523438,8,3,4.125,0.937266945838928,4,1,9.86055815877723,49.9905209505918
"200",216,9.30000019073486,608,3702.08569335938,7.31047487258911,3,-43.75,0.818425953388214,8,1,9.86072457027231,50.0119148688203
"201",270,9,643,2567.54516601562,7.4094181060791,3,-25.125,0.653973162174225,6,1,9.86074873538774,49.910103613227
"202",295,9.10000038146973,665,5556.06103515625,7.14247179031372,3,-20.875,1.43021190166473,4,1,9.86398086879748,49.6801978467515
"203",171,9.60000038146973,602,0,6.28465127944946,3,-47,2.11998391151428,6,1,9.86450283670363,49.8424024217566
